"gene.name"	"DE"	"in.module"	"Coarse.module"	"Fine.module"
"419"	"1700080e11rik"	FALSE	FALSE	NA	NA
"420"	"1700080g11rik"	FALSE	FALSE	NA	NA
"421"	"1700080n15rik"	FALSE	FALSE	NA	NA
"422"	"1700080o16rik"	FALSE	FALSE	NA	NA
"423"	"1700081h04rik"	FALSE	FALSE	NA	NA
"424"	"1700082m22rik"	TRUE	FALSE	NA	NA
"425"	"1700083h02rik"	FALSE	FALSE	NA	NA
"426"	"1700084c01rik"	FALSE	FALSE	NA	NA
"427"	"1700084c06rik"	FALSE	FALSE	NA	NA
"428"	"1700084e18rik"	FALSE	FALSE	NA	NA
"429"	"1700084f23rik"	FALSE	FALSE	NA	NA
"430"	"1700084j12rik"	FALSE	FALSE	NA	NA
"431"	"1700084m14rik"	FALSE	FALSE	NA	NA
"432"	"1700085c21rik"	FALSE	FALSE	NA	NA
"433"	"1700086d15rik"	FALSE	FALSE	NA	NA
"434"	"1700086l19rik"	FALSE	FALSE	NA	NA
"435"	"1700086o06rik"	FALSE	FALSE	NA	NA
"436"	"1700086p04rik"	FALSE	FALSE	NA	NA
"437"	"1700087m22rik"	FALSE	FALSE	NA	NA
"438"	"1700088e04rik"	FALSE	FALSE	NA	NA
"439"	"1700091h14rik"	FALSE	FALSE	NA	NA
"440"	"1700092c02rik"	FALSE	FALSE	NA	NA
"441"	"1700092c10rik"	FALSE	FALSE	NA	NA
"442"	"1700092c17rik"	FALSE	FALSE	NA	NA
"443"	"1700092e19rik"	FALSE	FALSE	NA	NA
"444"	"1700092k14rik"	FALSE	FALSE	NA	NA
"445"	"1700092m07rik"	FALSE	FALSE	NA	NA
"446"	"1700093j21rik"	TRUE	FALSE	NA	NA
"447"	"1700093k21rik"	FALSE	FALSE	NA	NA
"448"	"1700094j05rik"	FALSE	FALSE	NA	NA
"449"	"1700095a13rik"	FALSE	FALSE	NA	NA
"450"	"1700095a21rik"	FALSE	FALSE	NA	NA
"451"	"1700095b10rik"	FALSE	FALSE	NA	NA
"452"	"1700095j03rik"	FALSE	FALSE	NA	NA
"453"	"1700095j07rik"	FALSE	FALSE	NA	NA
"454"	"1700095j12rik"	FALSE	FALSE	NA	NA
"455"	"1700096j18rik"	FALSE	FALSE	NA	NA
"456"	"1700096k18rik"	FALSE	FALSE	NA	NA
"457"	"1700097n02rik"	FALSE	FALSE	NA	NA
"458"	"1700099i09rik"	FALSE	FALSE	NA	NA
"459"	"1700100l14rik"	FALSE	FALSE	NA	NA
"460"	"1700101e01rik"	FALSE	FALSE	NA	NA
